state,statefips,countyfips,county,latino_cvap_2020,latino_voted_2020,latino_turnout_2020_cvap,avg24_residual
VA,51,61,Fauquier County,1975,1501,.75999999,.21226938
MN,27,147,Steele County,1190,789,.6630252,.21205677
VA,51,109,Louisa County,355,235,.66197181,.21526557
ND,38,59,Morton County,755,452,.59867549,.21392949
MO,29,83,Henry County,170,99,.58235294,.21733677
VA,51,775,Salem city,405,267,.65925926,.22057658
AZ,4,17,Navajo County,7525,4578,.60837209,.22189267
NC,37,3,Alexander County,440,236,.53636366,.22095647
IA,19,69,Franklin County,375,241,.64266664,.21809421
CO,8,65,Lake County,945,665,.7037037,.22177868
KS,20,193,Thomas County,205,114,.55609757,.22309986
TX,48,359,Oldham County,195,121,.62051284,.22805217
VT,50,21,Rutland County,530,398,.75094342,.23076357
NC,37,1,Alamance County,5550,3208,.57801801,.22912636
KY,21,45,Casey County,135,66,.48888889,.23083836
ID,16,45,Gem County,525,286,.5447619,.23156586
MD,24,35,Queen Anne's County,705,498,.70638299,.23126212
NC,37,197,Yadkin County,945,514,.54391533,.2328064
OK,40,29,Coal County,115,58,.5043478,.23199554
SC,45,71,Newberry County,465,229,.49247313,.2334799
MD,24,47,Worcester County,700,477,.68142855,.2358142
OK,40,33,Cotton County,290,149,.51379311,.23775111
MN,27,103,Nicollet County,585,419,.71623933,.24258463
WY,56,23,Lincoln County,290,171,.58965516,.24488051
WI,55,109,St. Croix County,860,668,.77674419,.25028473
NE,31,39,Cuming County,190,127,.66842103,.25114438
NC,37,59,Davie County,670,423,.63134331,.25221407
WI,55,67,Langlade County,160,112,.69999999,.25579277
SD,46,19,Butte County,240,137,.57083333,.25547481
SD,46,57,Hamlin County,55,36,.65454543,.25845891
MO,29,3,Andrew County,305,199,.65245903,.25986141
NE,31,167,Stanton County,125,81,.648,.2613959
IA,19,161,Sac County,100,68,.68000001,.26005128
SD,46,121,Todd County,150,87,.57999998,.26407877
MO,29,1,Adair County,275,146,.53090906,.26455009
NE,31,51,Dixon County,215,143,.66511625,.26752961
NE,31,37,Colfax County,795,531,.66792452,.27297977
WI,55,129,Washburn County,165,122,.73939395,.27645171
KY,21,123,Larue County,80,46,.57499999,.27755791
CO,8,57,Jackson County,75,54,.72000003,.27999061
NM,35,31,McKinley County,5930,4305,.72596967,.28624827
NM,35,3,Catron County,475,374,.78736842,.28169197
TX,48,173,Glasscock County,145,98,.67586207,.28629369
IL,17,49,Effingham County,250,174,.69599998,.28740156
TX,48,9,Archer County,305,212,.69508195,.30227807
NV,32,23,Nye County,3300,2430,.73636365,.31436169
VA,51,53,Dinwiddie County,415,297,.71566266,.32199332
ND,38,71,Ramsey County,135,101,.74814814,.34415525
VA,51,195,Wise County,200,141,.70499998,.34981623
TX,48,345,Motley County,115,74,.64347827,.37154225
TX,48,67,Cass County,425,297,.69882351,.37564352
TN,47,15,Cannon County,130,83,.63846153,.36840591
VA,51,173,Smyth County,170,129,.75882351,.37846506
PA,42,59,Greene County,435,334,.76781607,.37538454
UT,49,19,Grand County,245,189,.77142859,.37382033
